Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Red Dead Redemption,PS3,2010,Action,Rockstar San Diego,2.79,2.53,0.17,0.99,6.49,95.0,73,8.8,20,Rockstar San Diego,M
FIFA 14,PS3,2013,Sports,EA Canada,0.78,4.24,0.07,1.37,6.47,86.0,37,4.3,15,EA Canada,E
Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85.0,41,6.9,20,Ubisoft,M
Donkey Kong Country Returns,Wii,2010,Platform,Retro Studios,3.17,1.79,1.03,0.46,6.44,87.0,77,8.6,16,Retro Studios,E
Halo: Combat Evolved,XB,2001,Shooter,Bungie Software,4.98,1.3,0.08,0.07,6.43,97.0,68,8.6,27,Bungie Software,M
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Game Studios,2.55,2.6,0.25,1.0,6.41,92.0,16,6.4,33,Bethesda Game Studios,M
Pokémon Emerald Version,GBA,2004,Role-Playing,Game Freak,2.57,1.58,2.06,0.21,6.41,76.0,28,9.0,33,Game Freak,E
Kingdom Hearts,PS2,2002,Role-Playing,SquareSoft,3.64,1.2,1.49,0.07,6.4,85.0,46,8.8,33,SquareSoft,E
Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,74.0,30,7.8,33,Nintendo,E
Halo 3: ODST,X360,2009,Shooter,"Bungie Software, Bungie",4.34,1.34,0.06,0.61,6.34,83.0,94,7.1,27,"Bungie Software, Bungie",M
Red Dead Redemption,X360,2010,Action,Rockstar San Diego,3.7,1.95,0.09,0.58,6.32,95.0,96,9.0,20,Rockstar San Diego,M
Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,61,8.6,16,Nintendo,E
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,72.0,25,7.6,24,Capcom,E
World of Warcraft,PC,2004,Role-Playing,Blizzard Entertainment,0.08,6.21,0.0,0.0,6.29,93.0,57,7.3,33,Blizzard Entertainment,T
Driver,PS,1999,Action,Reflections Interactive,3.11,2.8,0.02,0.33,6.27,87.0,22,8.1,78,Reflections Interactive,T
Gears of War 3,X360,2011,Shooter,Epic Games,4.05,1.59,0.07,0.5,6.21,91.0,96,7.8,27,Epic Games,M
Kinect Sports,X360,2010,Sports,Rare Ltd.,3.92,1.73,0.03,0.51,6.19,73.0,51,7.4,95,Rare Ltd.,E10+
Gears of War,X360,2006,Shooter,Epic Games,3.54,1.88,0.07,0.6,6.09,94.0,88,8.3,27,Epic Games,M
FIFA 15,PS4,2014,Sports,EA Sports,0.8,4.33,0.05,0.9,6.08,82.0,47,5.7,15,EA Sports,E
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,KCEJ,2.45,2.01,0.87,0.72,6.05,96.0,42,8.7,20,KCEJ,M
Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03,69.0,17,7.7,16,Sega,E
Metal Gear Solid,PS,1998,Action,KCEJ,3.18,1.83,0.78,0.24,6.03,94.0,20,9.4,20,KCEJ,M
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Kojima Productions,2.63,1.71,0.83,0.82,5.99,94.0,82,8.7,20,Kojima Productions,M
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,92.0,64,7.6,33,Square Enix,T
The Last of Us,PS3,2013,Action,Naughty Dog,2.41,2.18,0.28,0.99,5.87,95.0,98,9.1,20,Naughty Dog,M
LittleBigPlanet,PS3,2008,Platform,"SCE/WWS, Media Molecule",2.8,1.98,0.17,0.87,5.82,95.0,85,6.8,16,"SCE/WWS, Media Molecule",E
Resident Evil 2,PS,1998,Action,Capcom,1.88,1.47,2.02,0.45,5.82,89.0,13,9.2,20,Capcom,M
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Level 5,0.63,0.67,4.35,0.15,5.78,87.0,65,8.8,33,Level 5,E10+
Tekken 2,PS,1996,Fighting,Namco,2.26,1.89,1.36,0.23,5.74,89.0,8,8.9,102,Namco,T
Destiny,PS4,2014,Shooter,"Bungie Software, Bungie",2.49,2.07,0.16,0.92,5.64,76.0,95,6.1,27,"Bungie Software, Bungie",T
LEGO Star Wars: The Complete Saga,Wii,2007,Action,Traveller's Tales,3.57,1.55,0.0,0.51,5.64,80.0,17,8.9,62,Traveller's Tales,E10+
Cooking Mama,DS,2006,Simulation,Taito Corporation,3.07,1.91,0.07,0.57,5.63,67.0,35,7.2,21,Taito Corporation,E
Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,70.0,14,7.5,11,Nintendo,E
Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,72.0,25,7.6,24,Nintendo,E
Assassin's Creed II,PS3,2009,Action,Ubisoft Montreal,2.54,1.93,0.21,0.86,5.55,91.0,70,8.6,20,Ubisoft Montreal,M
Assassin's Creed,X360,2007,Adventure,Ubisoft Montreal,3.28,1.64,0.07,0.56,5.54,81.0,77,7.7,14,Ubisoft Montreal,M
Forza Motorsport 3,X360,2009,Racing,Turn 10,2.99,1.9,0.1,0.5,5.49,92.0,90,8.0,15,Turn 10,E
Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84.0,19,7.8,41,Nintendo,E
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,81.0,48,8.7,124,Capcom,T
Batman: Arkham City,PS3,2011,Action,Rocksteady Studios,2.71,1.85,0.11,0.81,5.48,96.0,42,8.6,20,Rocksteady Studios,T
Grand Theft Auto V,XOne,2014,Action,Rockstar North,2.81,2.19,0.0,0.47,5.48,97.0,14,7.9,20,Rockstar North,M
Mario Kart: Super Circuit,GBA,2001,Racing,Intelligent Systems,2.62,1.64,0.99,0.23,5.47,93.0,24,8.3,108,Intelligent Systems,E
Super Mario World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,69.0,17,7.7,16,Nintendo,E
Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,73.0,24,7.8,22,Nintendo,E
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Traveller's Tales,2.07,2.29,0.24,0.82,5.42,66.0,22,7.1,156,Traveller's Tales,E
Call of Duty: World at War,PS3,2008,Shooter,Treyarch,2.73,1.83,0.0,0.83,5.39,85.0,45,7.6,27,Treyarch,M
Uncharted 4: A Thief's End,PS4,2016,Shooter,Naughty Dog,1.85,2.5,0.19,0.85,5.38,93.0,113,7.9,27,Naughty Dog,T
Dr. Mario,GB,1989,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,70.0,14,7.5,11,Nintendo,E
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,5.33,83.0,83,7.3,33,Square Enix,T
Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,69.0,17,7.1,13,Nintendo,E
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94.0,22,8.9,33,SquareSoft,T
Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84.0,61,6.7,20,Ubisoft,M
Final Fantasy X-2,PS2,2003,Role-Playing,SquareSoft,1.92,1.08,2.11,0.17,5.29,85.0,45,6.6,33,SquareSoft,T
Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,69.0,17,7.7,16,Nintendo,E
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Sledgehammer Games,3.22,1.55,0.01,0.48,5.27,81.0,53,5.4,27,Sledgehammer Games,M
Minecraft,PS3,2014,Misc,Sony Computer Entertainment,2.03,2.37,0.0,0.87,5.26,69.0,17,7.1,13,Sony Computer Entertainment,E
Assassin's Creed II,X360,2009,Action,Ubisoft Montreal,3.11,1.55,0.08,0.51,5.26,90.0,82,8.8,20,Ubisoft Montreal,M
Tomb Raider II,PS,1997,Action,Core Design Ltd.,2.3,2.46,0.2,0.28,5.24,85.0,13,7.4,20,Core Design Ltd.,T
Madden NFL 2004,PS2,9999,Sports,EA Tiburon,4.26,0.26,0.01,0.71,5.23,94.0,29,8.5,140,EA Tiburon,E
Tomodachi Life,3DS,2013,Simulation,Nintendo,0.97,2.11,1.9,0.24,5.23,70.0,17,7.5,19,Nintendo,E
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.3,1.34,1.27,0.32,5.22,84.0,70,8.1,16,Nintendo,E
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Level 5,0.65,0.75,3.61,0.2,5.21,89.0,63,8.8,33,Level 5,T
Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,69.0,17,7.7,16,Nintendo,E
Professor Layton and the Curious Village,DS,2007,Puzzle,Level 5,1.21,2.43,1.03,0.52,5.19,85.0,72,8.6,147,Level 5,E
Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,69.0,17,7.7,16,Nintendo,E
FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16,90.0,48,6.1,20,Electronic Arts,E
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,69.0,17,7.7,16,Nintendo,E
